,,,,Valence,,,,Arousal,,,,Familiarity,,,,Cuteness,,,,Dangerousness,,,,Edibility,,,,Similarity to humans,,,,Capacity to think,,,,Capacity to feel,,,,Acceptability to kill,,,,Feelings of care,,,
Picture,Picure name,Category,Animal,M,SD,95% CI for Mean,,M,SD,95% CI for Mean,,M,SD,95% CI for Mean,,M,SD,95% CI for Mean,,M,SD,95% CI for Mean,,M,SD,95% CI for Mean,,M,SD,95% CI for Mean,,M,SD,95% CI for Mean,,M,SD,95% CI for Mean,,M,SD,95% CI for Mean,,M,SD,95% CI for Mean,
,,,,,,LB,UB,,,LB,UB,,,LB,UB,,,LB,UB,,,LB,UB,,,LB,UB,,,LB,UB,,,LB,UB,,,LB,UB,,,LB,UB,,,LB,UB
#1,amphibian1,Amphibian,frog,3.88,1.52,3.46,4.31,3.31,1.79,2.81,3.82,4.25,2.02,3.69,4.82,2.96,1.80,2.45,3.47,3.06,1.67,2.59,3.53,1.88,1.70,1.40,2.36,1.98,1.32,1.61,2.35,3.47,1.74,2.98,3.96,4.37,2.04,3.80,4.95,1.90,1.65,1.44,2.37,3.47,1.88,2.94,4.00
#2,amphibian2,Amphibian,frog,3.82,1.71,3.34,4.30,4.04,1.84,3.52,4.56,4.37,2.10,3.78,4.96,4.08,1.95,3.53,4.63,3.67,1.93,3.13,4.21,2.27,1.87,1.75,2.80,1.67,0.89,1.42,1.92,3.59,1.68,3.12,4.06,4.76,1.69,4.29,5.24,2.37,1.91,1.84,2.91,3.90,1.99,3.34,4.46
#3,amphibian3,Amphibian,newt,3.59,1.42,3.16,4.01,3.15,1.86,2.60,3.70,3.70,2.01,3.10,4.29,3.24,1.82,2.70,3.78,4.02,1.77,3.50,4.55,1.74,1.25,1.37,2.11,1.59,0.96,1.30,1.87,2.76,1.42,2.34,3.18,4.13,1.86,3.58,4.68,2.07,1.69,1.56,2.57,3.07,1.95,2.49,3.64
#4,amphibian4,Amphibian,blindworm,2.88,1.67,2.40,3.36,2.76,1.95,2.19,3.32,3.33,2.10,2.72,3.93,1.88,1.48,1.45,2.30,2.98,2.21,2.34,3.62,1.63,1.17,1.30,1.97,1.57,1.21,1.22,1.92,2.41,1.72,1.91,2.90,3.65,2.08,3.06,4.25,2.10,1.56,1.65,2.55,2.45,1.83,1.92,2.97
#5,amphibian5,Amphibian,triton,2.98,1.66,2.52,3.44,3.37,1.86,2.85,3.88,3.54,1.93,3.00,4.08,2.56,1.93,2.02,3.10,4.21,1.80,3.71,4.71,1.71,1.21,1.37,2.05,1.98,1.39,1.59,2.37,3.17,1.75,2.69,3.66,3.94,2.06,3.37,4.52,2.02,1.64,1.56,2.48,2.25,1.97,2.55,3.65
#6,arachnid1,Arachnid ,spider,2.40,1.46,1.99,2.81,3.68,2.12,3.08,4.28,4.86,2.29,4.21,5.51,1.92,1.54,1.48,2.36,5.10,1.76,4.60,5.60,1.96,1.68,1.48,2.44,1.64,1.14,1.32,1.96,3.14,1.85,2.61,3.67,4.04,2.22,3.41,4.67,2.46,2.02,1.89,3.03,2.42,1.84,1.90,2.94
#7,arachnid2,Arachnid ,tick,2.62,1.73,2.13,3.10,3.62,2.11,3.03,4.20,3.48,1.89,2.95,4.01,2.04,1.66,1.58,2.50,5.00,1.66,4.54,5.46,1.83,1.37,1.45,2.21,1.79,1.38,1.41,2.17,2.96,1.66,2.50,3.42,3.54,1.81,3.03,4.04,2.71,2.08,2.13,3.29,2.33,1.75,1.84,2.81
#8,arachnid3,Arachnid ,scorpion,2.92,1.88,2.40,3.45,3.13,2.02,2.57,3.70,3.50,2.13,2.91,4.09,2.06,1.54,1.63,2.49,5.85,1.27,5.49,6.20,2.00,1.63,1.55,2.45,1.85,1.32,1.48,2.21,3.19,2.06,2.62,3.77,4.10,2.16,3.49,4.70,2.38,1.91,1.85,2.92,2.58,1.71,2.10,3.05
