id,observed_on,user_login,quality_grade,captive_cultivated,latitude,longitude,common_name,iconic_taxon_name,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name
946168,2002-09-15,jon_sullivan,casual,true,-36.851111,174.771427,London Plane,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Proteales,,,Platanaceae,,,,,Platanus,,
964553,2004-05-09,stephen_thorpe,casual,false,-36.8497723711,174.7715196759,Double-dotted Anthicid,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Anthicidae,Anthicinae,,Anthicini,,Stricticomus,,Stricticomus tobias
964554,2004-06-23,stephen_thorpe,casual,false,-36.8497723711,174.7715196759,Double-dotted Anthicid,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Anthicidae,Anthicinae,,Anthicini,,Stricticomus,,Stricticomus tobias
955721,2004-06-28,stephen_thorpe,casual,false,-36.8497046367,174.7715914249,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Naboidea,Nabidae,Prostemmatinae,,Prostemmatini,,Alloeorhynchus,,Alloeorhynchus myersi
1348118,2005-11-29,pjd1,research,false,-36.850654,174.770797,,Plantae,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,Pteridaceae,Pteridoideae,,,,Pteris,,Pteris dentata
1435891,2006-11-19,pjd1,casual,true,-36.849615,174.771406,Hangehange,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Loganiaceae,,,,,Geniostoma,,Geniostoma ligustrifolium
958424,2006-11-25,stephen_thorpe,casual,false,-36.8504649943,174.7696937621,Yellow-bellied Baldy,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Euryglossinae,,,,Euryglossina,,Euryglossina hypochroma
962478,2008-02-12,stephen_thorpe,needs_id,false,-36.8504194642,174.769629389,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Chalcidoidea,Torymidae,Toryminae,,Podagrionini,,Podagrion,,
2381400,2008-03-15,stephen_thorpe,research,false,-36.850433,174.769651,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Chalcidoidea,Eulophidae,Entedoninae,,,,Thripoctenus,,Thripoctenus javae
3287067,2009-12-02,stephen_thorpe,needs_id,false,-36.850462,174.76969,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Scraptiidae,Scraptiinae,,Scraptiini,,Scraptia,,
1282500,2010-03-20,stephen_thorpe,needs_id,false,-36.849788,174.768809,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujoidea,Nitidulidae,Cryptarchinae,,,,Cryptarcha,,Cryptarcha nitidissima
9122215,2010-12-08,stephen_thorpe,research,false,-36.850479,174.769569,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Gelechioidea,Oecophoridae,,,,,Trachypepla,,Trachypepla euryleucota
959902,2010-12-23,stephen_thorpe,research,false,-36.8504088404,174.7696039081,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Ichneumonoidea,Braconidae,Pambolinae,,Chremylini,Cedriina,Pseudochremylus,,Pseudochremylus angulifer
953659,2011-06-02,stephen_thorpe,casual,false,-36.849655,174.769542,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Psocodea,Psocomorpha,,Psocidae,Amphigerontiinae,,,,Blaste,,Blaste lignicola
1013339,2011-09-19,stephen_thorpe,needs_id,false,-36.850532,174.769659,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Psocodea,Psocomorpha,,Peripsocidae,,,,,Peripsocus,,Peripsocus maoricus
44166,2011-11-01,rosemarykb,casual,false,-36.8529775049,174.7715377808,New Zealand Kaka,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Psittaciformes,,,Strigopidae,,,,,Nestor,,Nestor meridionalis
1733465,2012-10-28,stephen_thorpe,needs_id,false,-36.84874,174.770093,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Psocodea,Psocomorpha,,Psocidae,Amphigerontiinae,,,,Blaste,,Blaste tillyardi
948248,2012-12-06,stephen_thorpe,research,false,-36.8502605,174.769458,Fern mirid,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Bryocorinae,,Felisacini,,Felisacus,,Felisacus elegantulus
948664,2012-12-20,stephen_thorpe,research,false,-36.8505318226,174.7696870565,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Gelechioidea,Oecophoridae,,,,,Trachypepla,,Trachypepla galaxias
948933,2012-12-29,stephen_thorpe,needs_id,false,-36.8504685064,174.7695878148,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,,Anisopodidae,Mycetobiinae,,,,Mycetobia,,
948934,2012-12-29,stephen_thorpe,needs_id,false,-36.8505030336,174.7696055215,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Evanioidea,Gasteruptiidae,Hyptiogastrinae,,,,Pseudofoenus,,
948936,2012-12-29,stephen_thorpe,needs_id,false,-36.850463,174.769691,House Flies and Allies,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Muscoidea,Muscidae,,,,,,,
948956,2012-12-31,stephen_thorpe,research,false,-36.8504794242,174.7695921105,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Psocodea,Trogiomorpha,,Psyllipsocidae,,,,,Dorypteryx,,Dorypteryx longipennis
949062,2013-01-02,stephen_thorpe,research,false,-36.8504858631,174.7695840638,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Platypodinae,,Platypodini,,Platypus,,Platypus apicalis
949066,2013-01-02,stephen_thorpe,research,false,-36.8504955215,174.7695921105,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tineoidea,Tineidae,Erechthiinae,,,,Erechthias,,Erechthias stilbella
949590,2013-01-14,stephen_thorpe,research,false,-36.8504965947,174.769586746,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Crabroninae,,Trypoxylini,,Pison,,Pison peletieri
950166,2013-02-03,stephen_thorpe,research,false,-36.8512390034,174.7704957426,ash psyllid,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Sternorrhyncha,Psylloidea,Liviidae,Euphyllurinae,,,,Psyllopsis,,Psyllopsis fraxini
952798,2013-02-18,stephen_thorpe,research,false,-36.8494997486,174.7696723044,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Gelechioidea,Lecithoceridae,Lecithocerinae,,,,Sarisophora,,Sarisophora leucoscia
952846,2013-02-19,stephen_thorpe,research,false,-36.8512390034,174.7704957426,ash psyllid,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Sternorrhyncha,Psylloidea,Liviidae,Euphyllurinae,,,,Psyllopsis,,Psyllopsis fraxini
954538,2013-03-08,stephen_thorpe,research,false,-36.848807,174.770084,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Psocodea,Psocomorpha,,Psocidae,Amphigerontiinae,,,,Blaste,,Blaste tillyardi
954628,2013-03-10,stephen_thorpe,research,false,-36.8504965947,174.769586746,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Crabroninae,,Trypoxylini,,Pison,,Pison peletieri
956417,2013-03-25,stephen_thorpe,research,false,-36.8504718239,174.7697091848,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Crabroninae,,Trypoxylini,,Pison,,Pison peletieri
956418,2013-03-25,stephen_thorpe,research,false,-36.8504095993,174.769404754,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Psocodea,Trogiomorpha,,Psyllipsocidae,,,,,Dorypteryx,,Dorypteryx longipennis
957857,2013-03-31,stephen_thorpe,research,false,-36.8496955306,174.7709718347,Hairy-tailed Fig Aphid,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Sternorrhyncha,Aphidoidea,Aphididae,Greenideinae,,Greenideini,,Greenidea,,Greenidea ficicola
