"user_login","observed_on","common_name","ha_animal","charisma_score"
"invertebratist",2025-06-03,"Black Scale","mosquito",2.78
"invertebratist",2025-06-03,"Cycad Scale","mosquito",2.78
"invertebratist",2025-06-03,"Milktree Witches Broom","tick",3.64
"invertebratist",2025-06-03,"Oleander scale","mosquito",2.78
"invertebratist",2025-06-03,"Cottony Camellia Scale","mosquito",2.78
"invertebratist",2025-06-03,"Cottony Camellia Scale","mosquito",2.78
"invertebratist",2025-06-03,"False purple scale","mosquito",2.78
"invertebratist",2025-06-03,NA,"mosquito",2.78
"invertebratist",2025-06-03,NA,"mosquito",2.78
"invertebratist",2025-06-03,"Turtleshell Scale","mosquito",2.78
"invertebratist",2025-06-03,"Turtleshell Scale","mosquito",2.78
"invertebratist",2025-06-03,"Turtleshell Scale","mosquito",2.78
"invertebratist",2025-06-03,"Turtleshell Scale","mosquito",2.78
"invertebratist",2025-06-03,"Turtleshell Scale","mosquito",2.78
"invertebratist",2025-06-03,"Turtleshell Scale","mosquito",2.78
"invertebratist",2025-06-03,"Pukatea Pear-Shaped Scale","mosquito",2.78
"invertebratist",2025-06-03,"Titoki moth","butterfly",7.155
"invertebratist",2025-06-03,"Titoki moth","butterfly",7.155
"invertebratist",2025-06-03,NA,"butterfly",7.155
"invertebratist",2025-06-03,NA,"mosquito",2.78
"invertebratist",2025-06-03,NA,"mosquito",2.78
"invertebratist",2025-06-03,"Lime Leaf Aphid","mosquito",2.78
"invertebratist",2025-06-03,"Lime Leaf Aphid","mosquito",2.78
