"taxon_species_name","taxon_genus_name","n"
"Leptocroca sanguinolenta","Leptocroca",23
"Glaucocharis elaina","Glaucocharis",22
"Artona martini","Artona",17
"Vanicela disjunctella","Vanicela",17
"Sarisophora leucoscia","Sarisophora",14
"Conopomorpha cyanospila","Conopomorpha",12
"Philocryptica polypodii","Philocryptica",12
"Sarisa muriferata","Sarisa",11
"Lepidoscia lainodes","Lepidoscia",10
"Trachypepla galaxias","Trachypepla",10
"Acrocercops leucocyma","Acrocercops",9
"Barea confusella","Barea",9
"Eudonia minualis","Eudonia",9
"Glaucocharis chrysochyta","Glaucocharis",9
"Lantanophaga pusillidactylus","Lantanophaga",9
"Phrissogonus laticostata","Phrissogonus",9
"Pyralis farinalis","Pyralis",8
"Lepidoscia heliochares","Lepidoscia",7
"Phaeosaces compsotypa","Phaeosaces",7
"Pseudocoremia leucelaea","Pseudocoremia",7
NA,"Atalopsis",7
"Dryadaula pactolia","Dryadaula",6
"Endophthora omogramma","Endophthora",6
"Eudonia zophochlaena","Eudonia",6
"Vanessa itea","Vanessa",6
NA,"Batrachedra",6
"Agrotis ipsilon","Agrotis",5
"Blastobasis tarda","Blastobasis",5
"Calicotis crucifera","Calicotis",5
"Chabulina onychinalis","Chabulina",5
"Chrysodeixis eriosoma","Chrysodeixis",5
"Cryptaspasma querula","Cryptaspasma",5
"Cyclophora obstataria","Cyclophora",5
"Endrosis sarcitrella","Endrosis",5
"Haritalodes derogata","Haritalodes",5
"Ichneutica mutans","Ichneutica",5
"Lepidoscia protorna","Lepidoscia",5
"Liothula omnivora","Liothula",5
"Musotima nitidalis","Musotima",5
"Opogona omoscopa","Opogona",5
"Barea codrella","Barea",4
"Barea consignatella","Barea",4
"Blastobasis marmorosella","Blastobasis",4
"Chloroclystis filata","Chloroclystis",4
"Cosmopterix attenuatella","Cosmopterix",4
"Epyaxa lucidata","Epyaxa",4
"Erechthias stilbella","Erechthias",4
"Eudonia leptalaea","Eudonia",4
"Izatha mesoschista","Izatha",4
"Izatha peroneanella","Izatha",4
"Nyctemera amicus","Nyctemera",4
"Parochmastis hilderi","Parochmastis",4
"Pasiphilodes testulata","Pasiphilodes",4
"Phyllonorycter messaniella","Phyllonorycter",4
"Pyroderces apparitella","Pyroderces",4
"Sigilliclystis insigillata","Sigilliclystis",4
"Spodoptera litura","Spodoptera",4
"Trachypepla amphileuca","Trachypepla",4
"Trachypepla euryleucota","Trachypepla",4
NA,"Microcolona",4
NA,"Nyctemera",4
NA,NA,4
"Caloptilia azaleella","Caloptilia",3
"Chloroclystis inductata","Chloroclystis",3
"Cnephasia jactatana","Cnephasia",3
"Corocosma memorabilis","Corocosma",3
"Coscinoptycha improbana","Coscinoptycha",3
"Culladia cuneiferellus","Culladia",3
"Danaus plexippus","Danaus",3
"Erechthias capnitis","Erechthias",3
"Eudonia philerga","Eudonia",3
"Ipana leptomera","Ipana",3
"Orocrambus flexuosellus","Orocrambus",3
"Pantydia sparsa","Pantydia",3
"Prays nephelomima","Prays",3
"Pseudaletia separata","Pseudaletia",3
"Sphyrelata amotella","Sphyrelata",3
"Tebenna micalis","Tebenna",3
NA,"Eudonia",3
"Austrocidaria bipartita","Austrocidaria",2
"Capua intractana","Capua",2
"Ctenoplusia albostriata","Ctenoplusia",2
"Cydia succedana","Cydia",2
"Dasypodia cymatodes","Dasypodia",2
"Epalxiphora axenana","Epalxiphora",2
"Erechthias chionodira","Erechthias",2
"Erechthias terminella","Erechthias",2
"Eudonia psammitis","Eudonia",2
"Eudonia steropaea","Eudonia",2
"Gymnobathra hyetodes","Gymnobathra",2
"Isotenes miserana","Isotenes",2
"Lampides boeticus","Lampides",2
"Leucinodes cordalis","Leucinodes",2
"Lindera tessellatella","Lindera",2
"Poecilasthena pulchraria","Poecilasthena",2
"Pseudocoremia suavis","Pseudocoremia",2
"Thysanoplusia orichalcea","Thysanoplusia",2
"Tingena clarkei","Tingena",2
NA,"Spodoptera",2
NA,"Tingena",2
"Aenetus virescens","Aenetus",1
"Agrotis munda","Agrotis",1
"Anisoplaca cosmia","Anisoplaca",1
"Austrocidaria similata","Austrocidaria",1
"Carposina neurophorella","Carposina",1
"Chrysorthenches drosochalca","Chrysorthenches",1
"Coleophora mayrella","Coleophora",1
"Crocidosema plebejana","Crocidosema",1
"Ctenoplusia limbirena","Ctenoplusia",1
"Dialectica scalariella","Dialectica",1
"Diplopseustis perieresalis","Diplopseustis",1
"Hofmannophila pseudospretella","Hofmannophila",1
"Microdes epicryptis","Microdes",1
"Musotima ochropteralis","Musotima",1
"Phaeosaces coarctatella","Phaeosaces",1
"Pieris rapae","Pieris",1
"Plodia interpunctella","Plodia",1
"Plutella xylostella","Plutella",1
"Poecilasthena schistaria","Poecilasthena",1
"Prothinodes lutata","Prothinodes",1
"Pyroderces aellotricha","Pyroderces",1
"Schrankia costaestrigalis","Schrankia",1
"Scopula rubraria","Scopula",1
"Stathmopoda horticola","Stathmopoda",1
"Stegommata sulfuratella","Stegommata",1
"Stigmella microtheriella","Stigmella",1
"Tingena ancogramma","Tingena",1
"Trachypepla festiva","Trachypepla",1
"Uraba lugens","Uraba",1
"Xyridacma ustaria","Xyridacma",1
NA,"Barea",1
NA,"Bedellia",1
NA,"Chrysorthenches",1
NA,"Ctenopseustis",1
NA,"Epyaxa",1
NA,"Leptocroca",1
NA,"Megacraspedus",1
NA,"Scoriodyta",1
